[run-experiment; hdiff at version alpha]
Location  MinSharingHeight  MergeResult
kong-3c47101bfa30baf7aa4274d65a2146e87c3cba6c-c62a8b6f5fac609e5855f49abd37eb7ff75d0ce8 1 patience conflicting
kong-45d02921ae02759c8b545fb6a071f402da091805-ec4642d1252dadff204f15dbbfe6afbdae74b7da 1 proper parse-error
kong-45d02921ae02759c8b545fb6a071f402da091805-ec4642d1252dadff204f15dbbfe6afbdae74b7da 1 nonest parse-error
kong-45d02921ae02759c8b545fb6a071f402da091805-ec4642d1252dadff204f15dbbfe6afbdae74b7da 1 patience parse-error
kong-4729349d9c6a525e4cbc838c128f4a29f6352947-e0084f5743d41690eaa3141ec523e8b5f4cfa42c 1 proper conflicting
kong-4729349d9c6a525e4cbc838c128f4a29f6352947-e0084f5743d41690eaa3141ec523e8b5f4cfa42c 1 nonest success
kong-4729349d9c6a525e4cbc838c128f4a29f6352947-e0084f5743d41690eaa3141ec523e8b5f4cfa42c 1 patience success
kong-4e72a3537f4d8f1eb3f26845775f2bf5de47636f-4cf320363249e76c4cf201b26fd36e4abd7f6215 1 proper conflicting
kong-4e72a3537f4d8f1eb3f26845775f2bf5de47636f-4cf320363249e76c4cf201b26fd36e4abd7f6215 1 nonest conflicting
kong-4e72a3537f4d8f1eb3f26845775f2bf5de47636f-4cf320363249e76c4cf201b26fd36e4abd7f6215 1 patience conflicting
kong-4e72a3537f4d8f1eb3f26845775f2bf5de47636f-e8b137277892b2d2efd34fe9af5603f3daafd90b 1 proper conflicting
kong-4e72a3537f4d8f1eb3f26845775f2bf5de47636f-e8b137277892b2d2efd34fe9af5603f3daafd90b 1 nonest conflicting
kong-4e72a3537f4d8f1eb3f26845775f2bf5de47636f-e8b137277892b2d2efd34fe9af5603f3daafd90b 1 patience conflicting
kong-573577b9559077376e77959cea5e7412c0b0fc79-6d7ad5b076167812340e7c252358d549cef4d82d 1 proper conflicting
kong-573577b9559077376e77959cea5e7412c0b0fc79-6d7ad5b076167812340e7c252358d549cef4d82d 1 nonest conflicting
kong-573577b9559077376e77959cea5e7412c0b0fc79-6d7ad5b076167812340e7c252358d549cef4d82d 1 patience conflicting
kong-573577b9559077376e77959cea5e7412c0b0fc79-c69d3aae3d6013688ac4766a3cc7ff19e7bf76c4 1 proper conflicting
kong-573577b9559077376e77959cea5e7412c0b0fc79-c69d3aae3d6013688ac4766a3cc7ff19e7bf76c4 1 nonest conflicting
kong-573577b9559077376e77959cea5e7412c0b0fc79-c69d3aae3d6013688ac4766a3cc7ff19e7bf76c4 1 patience conflicting
kong-5736272128ea3a08ee3c2035e6711f4c9710f352-3b4f0878e398ddb5f29d9d6d5fd30ece9c13a1e6 1 proper conflicting
kong-5736272128ea3a08ee3c2035e6711f4c9710f352-3b4f0878e398ddb5f29d9d6d5fd30ece9c13a1e6 1 nonest conflicting
kong-5736272128ea3a08ee3c2035e6711f4c9710f352-3b4f0878e398ddb5f29d9d6d5fd30ece9c13a1e6 1 patience conflicting
kong-5736272128ea3a08ee3c2035e6711f4c9710f352-6d7ad5b076167812340e7c252358d549cef4d82d 1 proper conflicting
kong-5736272128ea3a08ee3c2035e6711f4c9710f352-6d7ad5b076167812340e7c252358d549cef4d82d 1 nonest conflicting
kong-5736272128ea3a08ee3c2035e6711f4c9710f352-6d7ad5b076167812340e7c252358d549cef4d82d 1 patience conflicting
kong-5736272128ea3a08ee3c2035e6711f4c9710f352-abeaed527c55c2de578de67586baeea183de5187 1 proper conflicting
kong-5736272128ea3a08ee3c2035e6711f4c9710f352-abeaed527c55c2de578de67586baeea183de5187 1 nonest conflicting
